"","SubjectID_left","SubjectID_right","Gender_left","Gender_right","Age_left","Age_right","Image_1","Image_2","Prop_red_image_1","Prop_red_image_2","Prop_yellow_image_1","Prop_yellow_image_2","Prop_green_image_1","Prop_green_image_2","Prop_blue_image_1","Prop_blue_image_2","Response_left","Response_right","Joint_left","Joint_right","Correct_left","Correct_right","Correct_joint","RT_left","RT_right","RT_joint_left","RT_joint_right","Round","Block","group_id","SubjectID_left_unique","SubjectID_right_unique","diff","response_right_dummy","response_left_dummy","response_joint_dummy","chosen_leader","Leader_gender","Follower_gender","leader_behavior","Trial"
"35","3","1","Male","Male",24,23,"Stim\r11y10g06b19.jpeg","Stim\r09y17g32b21.jpeg",11,9,10,17,6,32,19,21,4,-2,1,0,1,0,1,1.103,0.949,1.025,0,1,"blå","3_1","3_1","1_1",2,0,1,1,"Left_lead","Male","Male","stick",35
"36","3","1","Male","Male",24,23,"Stim\r10y02g36b05.jpeg","Stim\r21y31g06b08.jpeg",10,21,2,31,36,6,5,8,2,-2,-1,0,1,0,0,1.329,1.975,3.581,0,1,"blå","3_1","3_1","1_1",3,0,1,0,"Left_lead","Male","Male","surrender",36
"37","3","1","Male","Male",24,23,"Stim\r09y06g26b32.jpeg","Stim\r03y11g01b26.jpeg",9,3,6,11,26,1,32,26,3,-2,1,0,0,1,0,1.549,2.378,1.316,0,1,"blå","3_1","3_1","1_1",-6,0,1,1,"Left_lead","Male","Male","stick",37
"41","3","1","Male","Male",24,23,"Stim\r09y17g32b21.jpeg","Stim\r20y14g02b19.jpeg",9,20,17,14,32,2,21,19,-3,1,-1,0,1,0,1,1.293,1.823,1.035,0,1,"blå","3_1","3_1","1_1",-2,1,0,0,"Left_lead","Male","Male","stick",41
"42","3","1","Male","Male",24,23,"Stim\r03y06g12b09.jpeg","Stim\r16y09g06b10.jpeg",3,16,6,9,12,6,9,10,-1,3,0,-1,0,1,0,1.07,1.38,0,5.163,1,"blå","3_1","3_1","1_1",1,1,0,0,"Right_lead","Male","Male","surrender",42
"43","3","1","Male","Male",24,23,"Stim\r10y27g22b14.jpeg","Stim\r22y35g09b11.jpeg",10,22,27,35,22,9,14,11,2,-2,0,-1,0,1,1,1.15,2.212,0,4.827,1,"blå","3_1","3_1","1_1",-3,0,1,0,"Right_lead","Male","Male","stick",43
"45","3","1","Male","Male",24,23,"Stim\r10y03g03b07.jpeg","Stim\r08y09g09b11.jpeg",10,8,3,9,3,9,7,11,-1,2,0,1,0,1,1,2.094,1.491,0,2.682,1,"blå","3_1","3_1","1_1",4,1,0,1,"Right_lead","Male","Male","stick",45
"46","3","1","Male","Male",24,23,"Stim\r14y08g21b39.jpeg","Stim\r05y28g23b30.jpeg",14,5,8,28,21,23,39,30,2,-3,0,-1,0,1,1,1.401,1.326,0,2.181,1,"blå","3_1","3_1","1_1",-9,0,1,0,"Right_lead","Male","Male","stick",46
"47","3","1","Male","Male",24,23,"Stim\r12y07g16b25.jpeg","Stim\r14y12g04b29.jpeg",12,14,7,12,16,4,25,29,4,-2,0,1,1,0,1,1.249,3.545,0,1.554,1,"blå","3_1","3_1","1_1",4,0,1,1,"Right_lead","Male","Male","surrender",47
"49","3","1","Male","Male",24,23,"Stim\r16y09g06b10.jpeg","Stim\r21y31g06b08.jpeg",16,21,9,31,6,6,10,8,1,-2,-1,0,0,1,1,0.987,1.214,1.848,0,1,"blå","3_1","3_1","1_1",-2,0,1,0,"Left_lead","Male","Male","surrender",49
"52","3","1","Male","Male",24,23,"Stim\r06y14g31b25.jpeg","Stim\r09y15g18b07.jpeg",6,9,14,15,31,18,25,7,3,-1,1,0,1,0,1,1.654,2.367,1,0,1,"gul","3_1","3_1","1_1",1,0,1,1,"Left_lead","Male","Male","stick",52
"54","3","1","Male","Male",24,23,"Stim\r06y19g29b08.jpeg","Stim\r22y23g20b06.jpeg",6,22,19,23,29,20,8,6,2,-3,-1,0,1,0,0,1.066,1.379,1.032,0,1,"gul","3_1","3_1","1_1",4,0,1,0,"Left_lead","Male","Male","surrender",54
"59","3","1","Male","Male",24,23,"Stim\r08y23g10b29.jpeg","Stim\r07y14g27b22.jpeg",8,7,23,14,10,27,29,22,2,-1,0,1,0,1,0,1.37,1.299,0,3.06,1,"gul","3_1","3_1","1_1",-9,0,1,1,"Right_lead","Male","Male","surrender",59
"62","3","1","Male","Male",24,23,"Stim\r09y15g18b07.jpeg","Stim\r12y07g07b17.jpeg",9,12,15,7,18,7,7,17,-2,2,0,1,1,0,0,1.208,2.054,0,4.292,1,"gul","3_1","3_1","1_1",-8,1,0,1,"Right_lead","Male","Male","stick",62
"63","3","1","Male","Male",24,23,"Stim\r19y10g06b15.jpeg","Stim\r14y08g21b39.jpeg",19,14,10,8,6,21,15,39,-1,1,0,-1,1,0,1,1.079,1.874,0,3.743,1,"gul","3_1","3_1","1_1",-2,1,0,0,"Right_lead","Male","Male","surrender",63
"68","3","1","Male","Male",24,23,"Stim\r04y39g24b15.jpeg","Stim\r13y33g08b23.jpeg",4,13,39,33,24,8,15,23,-4,3,-1,0,1,0,1,1.042,1.554,4.111,0,1,"gul","3_1","3_1","1_1",-6,1,0,0,"Left_lead","Male","Male","stick",68
"71","3","1","Male","Male",24,23,"Stim\r09y02g05b02.jpeg","Stim\r03y06g12b09.jpeg",9,3,2,6,5,12,2,9,-1,1,1,0,0,1,1,1.305,1.334,1.346,0,1,"gul","3_1","3_1","1_1",4,1,0,1,"Left_lead","Male","Male","surrender",71
"74","3","1","Male","Male",24,23,"Stim\r11y10g06b19.jpeg","Stim\r05y09g02b34.jpeg",11,5,10,9,6,2,19,34,-2,1,-1,0,1,0,1,1.349,1.844,1.659,0,1,"grøn","3_1","3_1","1_1",-4,1,0,0,"Left_lead","Male","Male","stick",74
"80","3","1","Male","Male",24,23,"Stim\r20y14g02b19.jpeg","Stim\r07y02g03b06.jpeg",20,7,14,2,2,3,19,6,-1,2,0,1,0,1,1,0.946,1.392,0,3.265,1,"grøn","3_1","3_1","1_1",1,1,0,1,"Right_lead","Male","Male","stick",80
"85","3","1","Male","Male",24,23,"Stim\r09y15g18b07.jpeg","Stim\r03y06g12b09.jpeg",9,3,15,6,18,12,7,9,-4,1,0,-1,1,0,1,1.008,0.854,0,1.531,1,"grøn","3_1","3_1","1_1",-6,1,0,0,"Right_lead","Male","Male","surrender",85
"87","3","1","Male","Male",24,23,"Stim\r15y05g12b10.jpeg","Stim\r08y23g10b29.jpeg",15,8,5,23,12,10,10,29,-3,2,-1,0,1,0,1,1.011,1.223,1.38,0,1,"grøn","3_1","3_1","1_1",-2,1,0,0,"Left_lead","Male","Male","stick",87
"88","3","1","Male","Male",24,23,"Stim\r19y10g06b15.jpeg","Stim\r10y13g07b36.jpeg",19,10,10,13,6,7,15,36,-1,2,0,1,0,1,1,1.203,1.201,0,3.777,1,"grøn","3_1","3_1","1_1",1,1,0,1,"Right_lead","Male","Male","stick",88
"89","3","1","Male","Male",24,23,"Stim\r13y33g08b23.jpeg","Stim\r06y36g16b14.jpeg",13,6,33,36,8,16,23,14,-1,1,0,-1,0,1,0,2.091,2.021,0,3.893,1,"grøn","3_1","3_1","1_1",8,1,0,0,"Right_lead","Male","Male","surrender",89
"90","3","1","Male","Male",24,23,"Stim\r16y21g04b04.jpeg","Stim\r11y10g06b19.jpeg",16,11,21,10,4,6,4,19,-2,2,0,-1,0,1,0,1.27,1.25,0,3.656,1,"grøn","3_1","3_1","1_1",2,1,0,0,"Right_lead","Male","Male","surrender",90
"95","3","1","Male","Male",24,23,"Stim\r07y06g08b05.jpeg","Stim\r16y09g06b10.jpeg",7,16,6,9,8,6,5,10,-4,1,-1,0,1,0,1,1.435,2.048,0.868,0,1,"grøn","3_1","3_1","1_1",-2,1,0,0,"Left_lead","Male","Male","stick",95
"97","3","1","Male","Male",24,23,"Stim\r02y19g24b04.jpeg","Stim\r10y27g22b14.jpeg",2,10,19,27,24,22,4,14,-2,1,0,-1,1,0,1,1.173,1.483,0,3.596,1,"grøn","3_1","3_1","1_1",-2,1,0,0,"Right_lead","Male","Male","surrender",97
"99","3","2","Male","Female",24,25,"Stim\r03y11g01b26.jpeg","Stim\r04y39g24b15.jpeg",3,4,11,39,1,24,26,15,-1,1,0,1,0,1,1,1.697,1.549,0,3.263,2,"rød","3_2","3_2","2_2",1,1,0,1,"Right_lead","Female","Male","stick",2
"100","3","2","Male","Female",24,25,"Stim\r06y36g16b14.jpeg","Stim\r09y17g32b21.jpeg",6,9,36,17,16,32,14,21,-2,2,1,0,0,1,1,1.445,1.591,1.868,0,2,"rød","3_2","3_2","2_2",3,1,0,1,"Left_lead","Male","Female","surrender",3
"105","3","2","Male","Female",24,25,"Stim\r10y03g03b07.jpeg","Stim\r06y14g31b25.jpeg",10,6,3,14,3,31,7,25,2,-3,0,-1,0,1,1,0.927,1.288,0,2.4,2,"rød","3_2","3_2","2_2",-4,0,1,0,"Right_lead","Female","Male","stick",8
"108","3","2","Male","Female",24,25,"Stim\r13y21g23b09.jpeg","Stim\r12y07g16b25.jpeg",13,12,21,7,23,16,9,25,2,-1,0,1,0,1,0,1.004,1.083,0,2.007,2,"rød","3_2","3_2","2_2",-1,0,1,1,"Right_lead","Female","Male","surrender",11
"109","3","2","Male","Female",24,25,"Stim\r22y02g34b05.jpeg","Stim\r19y10g06b15.jpeg",22,19,2,10,34,6,5,15,-3,2,0,-1,1,0,1,1.615,1.298,0,1.528,2,"rød","3_2","3_2","2_2",-3,1,0,0,"Right_lead","Female","Male","surrender",12
"111","3","2","Male","Female",24,25,"Stim\r17y11g38b07.jpeg","Stim\r15y05g12b10.jpeg",17,15,11,5,38,12,7,10,-2,1,-1,0,1,0,1,2.296,1.321,1.349,0,2,"rød","3_2","3_2","2_2",-2,1,0,0,"Left_lead","Male","Female","stick",14
"116","3","2","Male","Female",24,25,"Stim\r15y16g12b03.jpeg","Stim\r13y33g08b23.jpeg",15,13,16,33,12,8,3,23,-2,3,0,1,1,0,0,0.989,1.504,0,1.51,2,"rød","3_2","3_2","2_2",-2,1,0,1,"Right_lead","Female","Male","stick",19
"117","3","2","Male","Female",24,25,"Stim\r10y07g11b10.jpeg","Stim\r14y10g15b15.jpeg",10,14,7,10,11,15,10,15,-2,1,0,-1,0,1,0,1.019,0.898,0,1.799,2,"rød","3_2","3_2","2_2",4,1,0,0,"Right_lead","Female","Male","surrender",20
"118","3","2","Male","Female",24,25,"Stim\r09y17g32b21.jpeg","Stim\r05y40g33b16.jpeg",9,5,17,40,32,33,21,16,1,-2,0,-1,0,1,1,1.659,1.184,0,1.53,2,"rød","3_2","3_2","2_2",-4,0,1,0,"Right_lead","Female","Male","stick",21
"120","3","2","Male","Female",24,25,"Stim\r16y21g04b04.jpeg","Stim\r14y10g15b15.jpeg",16,14,21,10,4,15,4,15,-2,2,0,1,1,0,0,1.094,1.123,0,1.463,2,"rød","3_2","3_2","2_2",-2,1,0,1,"Right_lead","Female","Male","stick",23
"124","3","2","Male","Female",24,25,"Stim\r09y15g18b07.jpeg","Stim\r22y23g20b06.jpeg",9,22,15,23,18,20,7,6,-1,2,1,0,1,0,0,1.031,1.796,1.162,0,2,"blå","3_2","3_2","2_2",-1,1,0,1,"Left_lead","Male","Female","surrender",27
"133","3","2","Male","Female",24,25,"Stim\r15y05g12b10.jpeg","Stim\r17y20g40b07.jpeg",15,17,5,20,12,40,10,7,-1,2,1,0,1,0,0,1.786,1.249,1.195,0,2,"blå","3_2","3_2","2_2",-3,1,0,1,"Left_lead","Male","Female","surrender",36
"134","3","2","Male","Female",24,25,"Stim\r13y21g23b09.jpeg","Stim\r07y02g03b06.jpeg",13,7,21,2,23,3,9,6,-1,1,1,0,1,0,0,1.21,1.406,2.417,0,2,"blå","3_2","3_2","2_2",-3,1,0,1,"Left_lead","Male","Female","surrender",37
"135","3","2","Male","Female",24,25,"Stim\r17y12g19b18.jpeg","Stim\r17y22g16b15.jpeg",17,17,12,22,19,16,18,15,-2,2,-1,0,1,0,1,1.16,1.256,3.758,0,2,"blå","3_2","3_2","2_2",-3,1,0,0,"Left_lead","Male","Female","stick",38
"144","3","2","Male","Female",24,25,"Stim\r05y40g33b16.jpeg","Stim\r04y16g13b13.jpeg",5,4,40,16,33,13,16,13,-1,4,1,0,1,0,0,0.891,1.369,1.621,0,2,"blå","3_2","3_2","2_2",-3,1,0,1,"Left_lead","Male","Female","surrender",47
"146","3","2","Male","Female",24,25,"Stim\r10y37g07b02.jpeg","Stim\r05y40g33b16.jpeg",10,5,37,40,7,33,2,16,-2,1,0,-1,0,1,0,1.69,27.583,0,2.439,2,"gul","3_2","3_2","2_2",3,1,0,0,"Right_lead","Female","Male","surrender",49
"147","3","2","Male","Female",24,25,"Stim\r14y08g21b39.jpeg","Stim\r22y02g34b05.jpeg",14,22,8,2,21,34,39,5,1,-1,-1,0,0,1,1,3.065,0.843,1.076,0,2,"gul","3_2","3_2","2_2",-6,0,1,0,"Left_lead","Male","Female","surrender",50
"148","3","2","Male","Female",24,25,"Stim\r11y13g22b35.jpeg","Stim\r19y10g06b15.jpeg",11,19,13,10,22,6,35,15,-3,2,-1,0,1,0,1,1.787,1.192,1.339,0,2,"gul","3_2","3_2","2_2",-3,1,0,0,"Left_lead","Male","Female","stick",51
"153","3","2","Male","Female",24,25,"Stim\r12y09g30b18.jpeg","Stim\r17y12g19b18.jpeg",12,17,9,12,30,19,18,18,2,-1,1,0,1,0,1,1.032,1.59,1.106,0,2,"gul","3_2","3_2","2_2",3,0,1,1,"Left_lead","Male","Female","stick",56
"156","3","2","Male","Female",24,25,"Stim\r02y10g14b11.jpeg","Stim\r08y09g09b11.jpeg",2,8,10,9,14,9,11,11,-2,2,1,0,1,0,0,1.155,1.552,1.028,0,2,"gul","3_2","3_2","2_2",-1,1,0,1,"Left_lead","Male","Female","surrender",59
"157","3","2","Male","Female",24,25,"Stim\r22y35g09b11.jpeg","Stim\r04y39g24b15.jpeg",22,4,35,39,9,24,11,15,-4,2,0,-1,0,1,0,1.262,1.761,0,2.253,2,"gul","3_2","3_2","2_2",4,1,0,0,"Right_lead","Female","Male","surrender",60
"159","3","2","Male","Female",24,25,"Stim\r14y10g15b15.jpeg","Stim\r17y11g38b07.jpeg",14,17,10,11,15,38,15,7,1,-1,0,-1,1,0,0,1.019,1.634,0,2.575,2,"gul","3_2","3_2","2_2",1,0,1,0,"Right_lead","Female","Male","stick",62
"160","3","2","Male","Female",24,25,"Stim\r17y22g16b15.jpeg","Stim\r22y23g20b06.jpeg",17,22,22,23,16,20,15,6,-1,2,0,1,0,1,1,1.687,1.384,0,1.56,2,"gul","3_2","3_2","2_2",1,1,0,1,"Right_lead","Female","Male","stick",63
"173","3","2","Male","Female",24,25,"Stim\r14y08g21b39.jpeg","Stim\r10y27g22b14.jpeg",14,10,8,27,21,22,39,14,-2,2,-1,0,0,1,0,1.009,1.238,1.471,0,2,"grøn","3_2","3_2","2_2",1,1,0,0,"Left_lead","Male","Female","stick",76
"174","3","2","Male","Female",24,25,"Stim\r03y03g02b05.jpeg","Stim\r13y33g08b23.jpeg",3,13,3,33,2,8,5,23,-1,2,1,0,0,1,1,0.956,1.169,0.845,0,2,"grøn","3_2","3_2","2_2",6,1,0,1,"Left_lead","Male","Female","surrender",77
"176","3","2","Male","Female",24,25,"Stim\r10y37g07b02.jpeg","Stim\r14y12g04b29.jpeg",10,14,37,12,7,4,2,29,1,-1,-1,0,0,1,1,1.508,1.604,3.854,0,2,"grøn","3_2","3_2","2_2",-3,0,1,0,"Left_lead","Male","Female","surrender",79
"178","3","2","Male","Female",24,25,"Stim\r05y09g02b34.jpeg","Stim\r07y02g03b06.jpeg",5,7,9,2,2,3,34,6,2,-2,1,0,1,0,1,3.478,2.758,1.413,0,2,"grøn","3_2","3_2","2_2",1,0,1,1,"Left_lead","Male","Female","stick",81
"179","3","2","Male","Female",24,25,"Stim\r13y21g23b09.jpeg","Stim\r08y12g20b03.jpeg",13,8,21,12,23,20,9,3,2,-3,-1,0,0,1,1,1.463,3.193,1.146,0,2,"grøn","3_2","3_2","2_2",-3,0,1,0,"Left_lead","Male","Female","surrender",82
"191","3","2","Male","Female",24,25,"Stim\r09y17g32b21.jpeg","Stim\r06y14g31b25.jpeg",9,6,17,14,32,31,21,25,-4,2,-1,0,1,0,1,1.208,1.138,1.067,0,2,"grøn","3_2","3_2","2_2",-1,1,0,0,"Left_lead","Male","Female","stick",94
"192","3","2","Male","Female",24,25,"Stim\r17y22g16b15.jpeg","Stim\r22y23g20b06.jpeg",17,22,22,23,16,20,15,6,-2,1,-1,0,0,1,0,1.838,0.855,3.19,0,2,"grøn","3_2","3_2","2_2",4,1,0,0,"Left_lead","Male","Female","stick",95
"196","4","1","Female","Male",23,23,"Stim\r21y31g06b08.jpeg","Stim\r20y14g02b19.jpeg",21,20,31,14,6,2,8,19,3,-3,0,1,0,1,0,1.192,3.086,0,3.017,2,"rød","4_1","4_2","1_2",-1,0,1,1,"Right_lead","Male","Female","surrender",3
"197","4","1","Female","Male",23,23,"Stim\r14y10g15b15.jpeg","Stim\r21y24g16b04.jpeg",14,21,10,24,15,16,15,4,2,-2,0,-1,1,0,0,1.523,1.554,0,2.404,2,"rød","4_1","4_2","1_2",7,0,1,0,"Right_lead","Male","Female","stick",4
"199","4","1","Female","Male",23,23,"Stim\r10y27g22b14.jpeg","Stim\r13y33g08b23.jpeg",10,13,27,33,22,8,14,23,3,-2,1,0,1,0,1,2.001,1.847,2.105,0,2,"rød","4_1","4_2","1_2",3,0,1,1,"Left_lead","Female","Male","stick",6
"200","4","1","Female","Male",23,23,"Stim\r13y24g05b28.jpeg","Stim\r14y10g15b15.jpeg",13,14,24,10,5,15,28,15,4,-2,0,1,1,0,1,1.537,1.95,0,1.34,2,"rød","4_1","4_2","1_2",1,0,1,1,"Right_lead","Male","Female","surrender",7
"206","4","1","Female","Male",23,23,"Stim\r05y40g33b16.jpeg","Stim\r04y16g13b13.jpeg",5,4,40,16,33,13,16,13,2,-1,1,0,0,1,0,1.47,2.899,3.892,0,2,"rød","4_1","4_2","1_2",-1,0,1,1,"Left_lead","Female","Male","stick",13
"208","4","1","Female","Male",23,23,"Stim\r11y14g08b23.jpeg","Stim\r09y15g18b07.jpeg",11,9,14,15,8,18,23,7,-2,2,-1,0,1,0,1,1.539,2.302,3.311,0,2,"rød","4_1","4_2","1_2",-2,1,0,0,"Left_lead","Female","Male","stick",15
"215","4","1","Female","Male",23,23,"Stim\r20y04g39b23.jpeg","Stim\r14y10g15b15.jpeg",20,14,4,10,39,15,23,15,-1,3,0,1,1,0,0,1.342,1.971,0,2.794,2,"rød","4_1","4_2","1_2",-6,1,0,1,"Right_lead","Male","Female","stick",22
"221","4","1","Female","Male",23,23,"Stim\r10y07g11b10.jpeg","Stim\r10y03g03b07.jpeg",10,10,7,3,11,3,10,7,-2,3,1,0,1,0,0,1.933,2.262,3.532,0,2,"blå","4_1","4_2","1_2",-3,1,0,1,"Left_lead","Female","Male","surrender",28
"229","4","1","Female","Male",23,23,"Stim\r21y01g04b27.jpeg","Stim\r15y17g24b30.jpeg",21,15,1,17,4,24,27,30,1,-3,-1,0,1,0,0,1.821,1.85,5.512,0,2,"blå","4_1","4_2","1_2",3,0,1,0,"Left_lead","Female","Male","surrender",36
"231","4","1","Female","Male",23,23,"Stim\r13y33g08b23.jpeg","Stim\r03y11g01b26.jpeg",13,3,33,11,8,1,23,26,2,-3,0,1,1,0,1,1.247,2.593,0,2.376,2,"blå","4_1","4_2","1_2",3,0,1,1,"Right_lead","Male","Female","surrender",38
"236","4","1","Female","Male",23,23,"Stim\r12y09g30b18.jpeg","Stim\r11y10g06b19.jpeg",12,11,9,10,30,6,18,19,4,-3,1,0,1,0,1,1.703,1.506,1.51,0,2,"blå","4_1","4_2","1_2",1,0,1,1,"Left_lead","Female","Male","stick",43
"239","4","1","Female","Male",23,23,"Stim\r22y23g20b06.jpeg","Stim\r16y09g06b10.jpeg",22,16,23,9,20,6,6,10,1,-3,0,-1,1,0,0,2.035,2.115,0,2.215,2,"blå","4_1","4_2","1_2",4,0,1,0,"Right_lead","Male","Female","stick",46
"242","4","1","Female","Male",23,23,"Stim\r22y35g09b11.jpeg","Stim\r13y33g08b23.jpeg",22,13,35,33,9,8,11,23,-1,2,1,0,1,0,0,2.159,1.371,4.01,0,2,"gul","4_1","4_2","1_2",-2,1,0,1,"Left_lead","Female","Male","surrender",49
"249","4","1","Female","Male",23,23,"Stim\r09y17g32b21.jpeg","Stim\r13y21g23b09.jpeg",9,13,17,21,32,23,21,9,-4,3,0,-1,0,1,0,2.293,1.472,0,1.642,2,"gul","4_1","4_2","1_2",4,1,0,0,"Right_lead","Male","Female","surrender",56
"250","4","1","Female","Male",23,23,"Stim\r09y15g18b07.jpeg","Stim\r17y12g19b18.jpeg",9,17,15,12,18,19,7,18,-2,2,-1,0,1,0,1,1.804,4.033,4.565,0,2,"gul","4_1","4_2","1_2",-3,1,0,0,"Left_lead","Female","Male","stick",57
"251","4","1","Female","Male",23,23,"Stim\r10y03g03b07.jpeg","Stim\r03y06g12b09.jpeg",10,3,3,6,3,12,7,9,2,-2,-1,0,1,0,0,2.34,1.803,2.205,0,2,"gul","4_1","4_2","1_2",3,0,1,0,"Left_lead","Female","Male","surrender",58
