"","GroupNumber","unique_ID","dif_blue","dif_blue_abs","chosen_leader","Leader_gender","Follower_gender","skill_dif","skill_dif_c","leader_behaviour","Sensitivity_roll","Gender","answer","Trial","Subject"
"251",10,"10_621aac02",-2,2,"Left_lead",0,0,1.08492232839613,0.084922328396126,"1",0.24508361313626,"Male",0,96,"621aac02"
"254",10,"10_621aac02",-3,3,"Left_lead",0,0,1.12191463618972,0.121914636189715,"0",0.243968616248888,"Male",1,99,"621aac02"
"256",11,"11_621aac02",-2,2,"Left_lead",0,1,0.708877876185571,-0.291122123814429,"1",0.072333761450542,"Male",0,10,"621aac02"
"262",11,"11_621aac02",1,1,"Left_lead",0,1,0.933958494217496,-0.066041505782504,"1",0.221987020343185,"Male",1,105,"621aac02"
"264",11,"11_621aac02",3,3,"Left_lead",0,1,0.963169732550281,-0.0368302674497194,"0",0.215784989766065,"Male",0,107,"621aac02"
"265",11,"11_621aac02",-3,3,"Left_lead",0,1,1.02939856540287,0.0293985654028732,"1",0.218966598114795,"Male",0,108,"621aac02"
"270",11,"11_621aac02",-3,3,"Left_lead",0,1,0.953404238787729,-0.046595761212271,"0",0.1617592393359,"Male",1,112,"621aac02"
"273",11,"11_621aac02",4,4,"Left_lead",0,1,1.29027245705039,0.29027245705039,"1",0.17963613669465,"Male",1,115,"621aac02"
"274",11,"11_621aac02",-1,1,"Left_lead",0,1,1.00063618518697,0.000636185186968063,"0",0.177850557247065,"Male",1,116,"621aac02"
"275",11,"11_621aac02",-4,4,"Left_lead",0,1,1.00250528853321,0.00250528853321086,"0",0.195061689256285,"Male",1,117,"621aac02"
"283",11,"11_621aac02",3,3,"Left_lead",0,1,0.972871588849518,-0.0271284111504819,"0",0.237699559714115,"Male",1,124,"621aac02"
"284",11,"11_621aac02",-4,4,"Left_lead",0,1,0.904423295177601,-0.0955767048223987,"0",0.1911014015597,"Male",0,125,"621aac02"
"285",11,"11_621aac02",-2,2,"Left_lead",0,1,0.906586585783063,-0.0934134142169368,"0",0.16562385849671,"Male",0,126,"621aac02"
"286",11,"11_621aac02",-4,4,"Left_lead",0,1,0.975378831716157,-0.0246211682838433,"0",0.181921431885855,"Male",1,127,"621aac02"
"293",11,"11_621aac02",-2,2,"Left_lead",0,1,0.915419694555365,-0.0845803054446354,"0",0.1104994568325,"Male",1,19,"621aac02"
"298",11,"11_621aac02",4,4,"Left_lead",0,1,1.11296359231369,0.112963592313686,"0",0.144101955305275,"Male",0,23,"621aac02"
"299",11,"11_621aac02",1,1,"Left_lead",0,1,1.04530114768981,0.0453011476898111,"0",0.15273910035307,"Male",1,24,"621aac02"
"308",11,"11_621aac02",4,4,"Left_lead",0,1,1.15491329734583,0.154913297345829,"0",0.14712039167846,"Male",1,32,"621aac02"
"325",11,"11_621aac02",1,1,"Left_lead",0,1,1.036811689378,0.0368116893779955,"0",0.154414357425475,"Male",1,48,"621aac02"
"329",11,"11_621aac02",-3,3,"Left_lead",0,1,1.13141691766937,0.131416917669368,"1",0.158929027494151,"Male",0,51,"621aac02"
"330",11,"11_621aac02",-2,2,"Left_lead",0,1,1.11658442129826,0.11658442129826,"0",0.126996992805035,"Male",1,52,"621aac02"
"334",11,"11_621aac02",2,2,"Left_lead",0,1,1.10029707008117,0.100297070081173,"1",0.137284542485499,"Male",0,56,"621aac02"
"335",11,"11_621aac02",-1,1,"Left_lead",0,1,1.12842660425674,0.128426604256744,"0",0.14594177529601,"Male",0,57,"621aac02"
"341",11,"11_621aac02",-3,3,"Left_lead",0,1,1.1202047948213,0.120204794821304,"0",0.175005988416245,"Male",1,62,"621aac02"
"345",11,"11_621aac02",-1,1,"Left_lead",0,1,0.916664260124349,-0.0833357398756506,"1",0.136571511310095,"Male",0,66,"621aac02"
